CountryName,Yr,PopulationMale,PopulationFemale,PopulationTotal,PopulationDensity
United States of America,2015,158712.121,162166.191,320878.312,35.079
United States of America,2016,159798.231,163217.761,323015.992,35.312
United States of America,2017,160840.943,164243.815,325084.758,35.538
United States of America,2018,161847.183,165249.08,327096.263,35.758
United States of America,2019,162826.299,166238.618,329064.917,35.974
India,2098,742035.138,719042.683,1461077.821,491.418
India,2099,738538.972,715524.113,1454063.085,489.058
Afghanistan,1960,4649.573,4347.394,8996.967,13.781
Australia,2015,11925.355,12007.144,23932.499,3.115
Australia,2016,12085.384,12177.326,24262.71,3.158
Australia,2017,12243.642,12340.977,24584.619,3.2
Australia,2018,12399.374,12498.779,24898.153,3.241
Australia,2019,12551.311,12651.889,25203.2,3.281
Algeria,1960,5558.042,5499.822,11057.864,4.643
Hungary,2085,4726.872,4706.356,9433.228,104.2
